env_name,library_type,optimizer_type,optimizer_name,threshold,alpha,mse,mse_qat,Nonzero count
Pendulum-v1,poly,hardware,STLSQ,1e-05,1e-05,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,0.0001291549665014884,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,0.0016681005372000592,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,0.021544346900318846,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,0.2782559402207126,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,3.593813663804626,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,46.41588833612782,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,599.4842503189421,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,7742.636826811277,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,1e-05,100000.0,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,1e-05,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,0.0001291549665014884,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,0.0016681005372000592,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,0.021544346900318846,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,0.2782559402207126,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,3.593813663804626,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,46.41588833612782,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,599.4842503189421,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,7742.636826811277,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,5.994842503189409e-05,100000.0,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,1e-05,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,0.0001291549665014884,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,0.0016681005372000592,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,0.021544346900318846,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,0.2782559402207126,0.022595889996974435,946723.3801329144,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,3.593813663804626,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,46.41588833612782,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,599.4842503189421,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,7742.636826811277,0.02264042050589007,935166.5831720496,13
Pendulum-v1,poly,hardware,STLSQ,0.00035938136638046257,100000.0,0.026441361134724426,1358233.6723622154,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,1e-05,0.022596399892454495,880065.9038052657,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,0.0001291549665014884,0.02259636716812065,1937645.9371201845,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,0.0016681005372000592,0.022521395087550418,471978.997498117,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,0.021544346900318846,0.02252138842060536,754385.8854469962,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,0.2782559402207126,0.02252138842060536,754385.8854469962,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,3.593813663804626,0.02259616101746785,726930.4961337827,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,46.41588833612782,0.02269824006127075,1326730.0303461552,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,599.4842503189421,0.022698010024309836,214085.76294689995,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,7742.636826811277,0.02268076716556765,1422233.4997785215,13
Pendulum-v1,poly,hardware,STLSQ,0.0021544346900318843,100000.0,0.02902739511215127,1026304.1476935036,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,1e-05,0.023573167498268467,1055518.7677341066,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,0.0001291549665014884,0.02354372381068382,570723.0744838286,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,0.0016681005372000592,0.023397797438308058,202525.84304788584,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,0.021544346900318846,0.023332502015222665,193797.87328367645,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,0.2782559402207126,0.023397797676680203,202868.97720184183,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,3.593813663804626,0.02333256835375169,380860.71747376263,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,46.41588833612782,0.025079795955446783,666752.9949101972,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,599.4842503189421,0.03489246083764568,141183.0515284687,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,7742.636826811277,0.09116350280490974,0.10030241507716667,13
Pendulum-v1,poly,hardware,STLSQ,0.01291549665014884,100000.0,0.18198108255431084,0.2149228277209482,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,1e-05,0.06707983394709151,0.09610388253402062,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,0.0001291549665014884,0.06354942091095046,7044.176580622389,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,0.0016681005372000592,0.06658226182241024,0.24928351758191103,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,0.021544346900318846,0.06658226182241024,0.24928351758191103,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,0.2782559402207126,0.06658226182241024,0.24928351758191103,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,3.593813663804626,0.06658226182241024,0.24928351758191103,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,46.41588833612782,0.09560519102059305,0.09678556370846927,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,599.4842503189421,0.2600521277802782,0.26000567280391074,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,7742.636826811277,0.3590614967992181,0.3589909371199745,13
Pendulum-v1,poly,hardware,STLSQ,0.0774263682681127,100000.0,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,1e-05,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,0.0001291549665014884,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,0.0016681005372000592,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,0.021544346900318846,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,0.2782559402207126,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,3.593813663804626,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,46.41588833612782,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,599.4842503189421,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,7742.636826811277,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,0.4641588833612782,100000.0,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,1e-05,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,0.0001291549665014884,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,0.0016681005372000592,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,0.021544346900318846,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,0.2782559402207126,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,3.593813663804626,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,46.41588833612782,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,599.4842503189421,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,7742.636826811277,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,2.782559402207126,100000.0,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,1e-05,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,0.0001291549665014884,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,0.0016681005372000592,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,0.021544346900318846,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,0.2782559402207126,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,3.593813663804626,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,46.41588833612782,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,599.4842503189421,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,7742.636826811277,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,16.68100537200059,100000.0,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,1e-05,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,0.0001291549665014884,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,0.0016681005372000592,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,0.021544346900318846,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,0.2782559402207126,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,3.593813663804626,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,46.41588833612782,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,599.4842503189421,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,7742.636826811277,0.4840341916843347,0.4840341916843347,13
Pendulum-v1,poly,hardware,STLSQ,100.0,100000.0,0.4840341916843347,0.4840341916843347,13
